date,ms,open,high,low,close,volume
2021-01-16 00:00:00+00:00,1610755200000,36744.6,37947.5,35342.2,36014.6,8842.42252093
2021-01-17 00:00:00+00:00,1610841600000,36010.5,36873.9,33850.0,35816.4,9017.89627085
2021-01-18 00:00:00+00:00,1610928000000,35815.6,37400.0,34754.5,36622.5,7464.62633774
2021-01-19 00:00:00+00:00,1611014400000,36622.5,37860.0,35900.0,35925.6,6298.67637683
2021-01-20 00:00:00+00:00,1611100800000,35925.5,36396.7,33374.0,35511.8,9170.19074567
2021-01-21 00:00:00+00:00,1611187200000,35511.8,35614.1,30056.1,30832.6,19513.43295565
2021-01-22 00:00:00+00:00,1611273600000,30832.5,33850.0,28800.0,33000.0,15251.54979223
2021-01-23 00:00:00+00:00,1611360000000,33000.1,33496.4,31350.0,32100.5,6099.11396014
2021-01-24 00:00:00+00:00,1611446400000,32101.1,33088.2,30950.0,32292.0,4828.26804529
2021-01-25 00:00:00+00:00,1611532800000,32297.8,34872.7,31908.7,32274.4,9134.64789835
2021-01-26 00:00:00+00:00,1611619200000,32266.9,32932.8,30816.2,32501.0,8854.20510657
2021-01-27 00:00:00+00:00,1611705600000,32509.2,32579.0,29255.0,30424.2,11215.32690868
2021-01-28 00:00:00+00:00,1611792000000,30422.6,33872.1,29900.0,33430.4,8816.48779189
2021-01-29 00:00:00+00:00,1611878400000,33430.5,38621.0,32000.0,34261.7,20784.44273084
2021-01-30 00:00:00+00:00,1611964800000,34266.3,34902.0,32865.2,34296.5,5251.37596528
2021-01-31 00:00:00+00:00,1612051200000,34297.4,34373.2,32200.0,33122.0,4625.29985591
2021-02-01 00:00:00+00:00,1612137600000,33121.8,34700.0,32325.3,33533.9,5477.65375934
2021-02-02 00:00:00+00:00,1612224000000,33534.1,36000.0,33462.1,35500.0,6824.95472103
2021-02-03 00:00:00+00:00,1612310400000,35500.0,37676.0,35394.8,37670.9,7014.21979274
2021-02-04 00:00:00+00:00,1612396800000,37676.0,38735.1,36202.0,36979.0,7172.51303209
2021-02-05 00:00:00+00:00,1612483200000,36975.8,38340.0,36582.9,38296.7,4809.54280306
2021-02-06 00:00:00+00:00,1612569600000,38311.7,40986.0,38221.4,39257.0,9126.76729633
2021-02-07 00:00:00+00:00,1612656000000,39257.0,39704.4,37410.5,38874.9,5135.54003709
2021-02-08 00:00:00+00:00,1612742400000,38867.1,46727.2,38075.0,46425.8,13678.90387894
2021-02-09 00:00:00+00:00,1612828800000,46425.7,48222.0,45050.0,46502.8,10574.2177171
2021-02-10 00:00:00+00:00,1612915200000,46504.5,47340.0,43734.8,44847.5,6451.55893098
2021-02-11 00:00:00+00:00,1613001600000,44839.5,48703.6,44046.2,47962.8,7962.97492388
2021-02-12 00:00:00+00:00,1613088000000,47979.9,48925.0,46263.0,47470.4,5332.29630267
2021-02-13 00:00:00+00:00,1613174400000,47438.2,48224.1,46285.0,47199.9,2631.80889729
2021-02-14 00:00:00+00:00,1613260800000,47199.9,49700.0,47038.7,48649.7,3553.11213783
2021-02-15 00:00:00+00:00,1613347200000,48655.4,49043.3,45710.5,47937.1,5337.99924266
2021-02-16 00:00:00+00:00,1613433600000,47937.1,50599.9,47040.1,49218.7,6175.520692
2021-02-17 00:00:00+00:00,1613520000000,49185.6,52779.6,48967.4,52130.0,7320.83703094
2021-02-18 00:00:00+00:00,1613606400000,52130.0,52555.1,50904.2,51600.9,4118.2056143
2021-02-19 00:00:00+00:00,1613692800000,51590.5,56349.9,50683.4,55926.9,8055.79248517
2021-02-20 00:00:00+00:00,1613779200000,55926.5,57500.0,53961.9,55938.7,5846.24681261
2021-02-21 00:00:00+00:00,1613865600000,55931.5,58339.0,55490.5,57478.3,3727.83573597
2021-02-22 00:00:00+00:00,1613952000000,57475.9,57567.6,45002.0,54154.8,12299.53570482
2021-02-23 00:00:00+00:00,1614038400000,54128.0,54200.0,45000.0,48899.8,17080.21248951
2021-02-24 00:00:00+00:00,1614124800000,48899.6,51442.5,47015.7,49727.7,8110.23297686
2021-02-25 00:00:00+00:00,1614211200000,49726.1,52071.9,46702.0,47061.5,7523.62785681
2021-02-26 00:00:00+00:00,1614297600000,47072.1,48449.0,44120.3,46314.5,10050.93808767
2021-02-27 00:00:00+00:00,1614384000000,46307.2,48350.0,45022.9,46170.2,4235.54896417
2021-02-28 00:00:00+00:00,1614470400000,46163.9,46706.2,43020.0,45245.4,6840.39246604
2021-03-01 00:00:00+00:00,1614556800000,45234.7,49818.1,45046.8,49620.7,7070.92019864
2021-03-02 00:00:00+00:00,1614643200000,49615.3,50225.8,47050.2,48486.2,5796.81965376
2021-03-03 00:00:00+00:00,1614729600000,48495.9,52600.0,48160.0,50400.0,6721.5926205
2021-03-04 00:00:00+00:00,1614816000000,50400.0,51820.4,47500.0,48330.0,7226.22528712
2021-03-05 00:00:00+00:00,1614902400000,48330.0,49539.3,46312.0,48734.7,7480.67750585
2021-03-06 00:00:00+00:00,1614988800000,48767.4,49232.2,47111.9,48899.9,3104.70756826
2021-03-07 00:00:00+00:00,1615075200000,48906.0,51470.2,48905.9,50962.3,4519.00601948
2021-03-08 00:00:00+00:00,1615161600000,50971.3,52432.9,49368.0,52375.0,4669.97221169
2021-03-09 00:00:00+00:00,1615248000000,52383.0,54929.0,51875.0,54929.0,5890.74250935
2021-03-10 00:00:00+00:00,1615334400000,54922.7,57378.0,53051.0,55851.0,8091.88400907
2021-03-11 00:00:00+00:00,1615420800000,55859.9,58150.1,54286.3,57809.9,6111.04350087
2021-03-12 00:00:00+00:00,1615507200000,57807.0,58069.5,55040.2,57234.0,4971.61542626
2021-03-13 00:00:00+00:00,1615593600000,57238.9,61724.6,56073.2,61174.9,7245.63678712
